# time(ps) Num_water
10 5
20 11
30 12
40 16
50 18
60 21
70 20
80 20
90 21
100 19
110 19
120 19
130 20
140 21
150 21
160 20
170 19
180 21
190 20
200 21
210 20
220 21
230 21
240 20
250 21
260 21
270 20
280 21
290 21
300 22
310 21
320 21
330 21
340 20
350 20
360 19
370 20
380 21
390 20
400 22
410 19
420 21
430 20
440 20
450 21
460 22
470 21
480 20
490 20
500 21
510 21
520 21
530 20
540 20
550 20
560 21
570 21
580 20
590 20
600 21
610 20
620 19
630 21
640 20
650 20
660 20
670 20
680 20
690 20
700 20
710 19
720 20
730 19
740 20
750 21
760 20
770 20
780 22
790 20
800 21
810 20
820 21
830 21
840 19
850 20
860 21
870 20
880 21
890 20
900 21
910 20
920 21
930 21
940 20
950 21
960 21
970 20
980 20
990 23
1000 20
