# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 1
11 0 2
12 0 4
13 0 6
14 0 9
15 0 11
16 0 12
17 0 15
18 0 21
19 0 22
20 0 24
21 0 25
22 0 28
23 0 30
24 0 32
25 0 34
26 0 36
27 0 38
28 0 40
29 0 42
30 0 44
31 0 45
32 0 49
33 0 52
34 0 54
35 0 58
36 0 62
37 0 64
38 0 65
39 0 69
40 0 72
41 0 74
42 0 74
43 0 79
44 0 81
45 0 84
46 0 88
47 0 91
48 0 93
49 0 95
50 0 96
51 0 97
52 0 101
53 0 103
54 0 106
55 0 110
56 0 112
57 0 116
58 0 119
59 0 119
60 0 121
61 0 124
62 0 127
63 0 129
64 0 132
65 0 136
66 0 140
67 0 142
68 0 143
69 0 144
70 0 146
71 0 146
72 0 148
73 0 153
74 0 155
75 0 158
76 0 162
77 0 164
78 0 166
79 0 170
80 0 172
81 0 173
82 0 175
83 0 179
84 0 181
85 0 182
86 0 185
87 0 186
88 0 188
89 0 193
90 0 198
91 0 198
92 0 202
93 0 204
94 0 206
95 0 206
96 0 209
97 0 212
98 0 213
99 0 215
100 0 217
101 0 221
102 0 223
103 0 225
104 0 226
105 0 229
106 0 231
107 0 232
108 0 236
109 0 236
110 0 240
111 0 243
112 0 246
113 0 248
114 0 249
115 0 251
116 0 255
117 0 258
118 0 261
119 0 262
120 0 265
121 0 269
122 0 270
123 0 272
124 0 278
125 0 282
126 0 285
127 0 285
128 0 288
129 0 290
130 0 292
131 0 294
132 0 297
133 0 298
134 0 300
135 0 302
136 0 304
137 0 306
138 0 307
139 0 309
140 0 310
141 0 313
142 0 315
143 0 317
144 0 320
145 0 321
146 0 323
147 0 327
148 0 331
149 0 334
150 0 337
151 0 342
152 0 344
153 0 345
154 0 349
155 0 352
156 0 356
157 0 358
158 0 359
159 0 363
160 0 364
161 0 366
162 0 368
163 0 370
164 0 372
165 0 372
166 0 375
167 0 377
168 0 380
169 0 381
170 0 384
171 0 385
172 0 391
173 0 392
174 0 393
175 0 396
176 0 398
177 0 400
178 0 401
179 0 402
180 0 403
181 0 405
182 0 407
183 0 408
184 0 409
185 0 414
186 0 415
187 0 418
188 0 420
189 0 421
190 0 422
191 0 426
192 0 428
193 0 431
194 0 433
195 0 435
196 0 437
197 0 438
198 0 443
199 0 444
200 0 448
