# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 0 0
90 0 0
100 0 0
110 0 0
120 0 0
130 0 0
140 0 0
150 0 0
160 0 0
170 0 0
180 0 0
190 0 0
200 0 0
210 0 0
220 0 0
230 0 0
240 0 0
250 0 0
260 0 0
270 0 0
280 0 0
290 0 0
300 0 1
310 2 2
320 2 3
330 2 3
340 2 3
350 2 3
360 2 3
370 2 3
380 2 3
390 2 3
400 2 3
410 2 3
420 2 3
430 2 3
440 2 3
450 2 3
460 2 3
470 2 3
480 2 4
490 2 4
500 2 5
510 3 6
520 4 9
530 5 9
540 5 9
550 5 10
560 5 10
570 6 10
580 6 10
590 6 10
600 6 10
610 7 11
620 7 11
630 7 11
640 7 12
650 7 12
660 7 13
670 7 13
680 7 14
690 7 14
700 8 14
710 8 14
720 8 14
730 8 15
740 9 15
750 9 15
760 9 15
770 9 15
780 9 16
790 10 16
800 11 16
810 11 16
820 13 16
830 13 16
840 13 16
850 13 16
860 13 16
870 13 16
880 13 16
890 13 16
900 13 16
910 13 16
920 13 16
930 13 16
940 13 17
950 13 18
960 13 18
970 13 18
980 13 18
990 13 18
1000 13 19
